#{"t_start": 1715312728.5017793, "env_id": "None"}
r,l,t
-1571.701898,1001,67.151763
-1626.865006,1001,133.693195
-1554.454531,1001,200.596826
-1605.797272,1001,267.460841
-1643.859865,1001,334.013065
-1577.755476,1001,399.936311
-1645.627198,1001,434.932179
-1576.910364,1001,499.216345
-1594.567465,1001,567.785564
-1564.795987,1001,636.547726
